guest asm,,,,,,,,,,operand encoding (Intel syntax),,,,,,operand types (Intel syntax),,,,,host asm,,,,
name,opcode,vec pfx,prefix,escape,width,dst_w,tuple,mask,misc,E_class,dst_e,src1_e,src2_e,src3_e,src4_e,dst_t,src1_t,src2_t,src3_t,src4_t,asm-> IR function,IR,mult,param,IR->asm
VPMOVUSDB,0x11,EVEX,PFX_F3,ESC_0F38,W0,W_8,QuarterMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I32,Ity_V128,,,,m_I32U_to_I8U_sat,Iop_INVALID,4,,
VPMOVUSDB,0x11,EVEX,PFX_F3,ESC_0F38,W0,W_8,QuarterMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I64,Ity_V256,,,,m_I32U_to_I8U_sat,Iop_INVALID,8,,
VPMOVUSDB,0x11,EVEX,PFX_F3,ESC_0F38,W0,W_8,QuarterMem,MASK_FULL,,E6,rmE,rG,,,,Ity_V128,Ity_V512,,,,m_I32U_to_I8U_sat,Iop_INVALID,16,,
VMOVHLPS,0x12,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVectorMem,MASK_NONE,,E7NM128,rG,rV,rE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_INVALID,,,
VMOVLPS,0x12,EVEX,PFX_NA,ESC_0F,W0,W_32,Tuple2,MASK_NONE,,E9NF,mE,rG,,,,Ity_I64,Ity_V128,,,,NULL,Iop_INVALID,,,
VMOVLPD,0x12,EVEX,PFX_66,ESC_0F,W1,W_64,Tuple1Scalar,MASK_NONE,,E9NF,rG,rV,mE,,,Ity_V128,Ity_V128,Ity_I64,,,NULL,Iop_SetV128lo64,,,LEGACY
VPSLLVW,0x12,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_INVALID,,0,
VPSLLVW,0x12,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,NULL,Iop_INVALID,,0,
VPSLLVW,0x12,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,NULL,Iop_INVALID,,0,
VMOVDDUP,0x12,EVEX,PFX_F2,ESC_0F,W1,W_64,MOVDDUP,MASK_FULL,,E5NF,rG,rmE,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_InterleaveLO64x2,1,,LEGACY
VMOVDDUP,0x12,EVEX,PFX_F2,ESC_0F,W1,W_64,MOVDDUP,MASK_FULL,,E5NF,rG,rmE,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,NULL,Iop_InterleaveLO64x2,2,,LEGACY
VMOVDDUP,0x12,EVEX,PFX_F2,ESC_0F,W1,W_64,MOVDDUP,MASK_FULL,,E5NF,rG,rmE,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,NULL,Iop_InterleaveLO64x2,4,,LEGACY
VMOVSLDUP,0x12,EVEX,PFX_F3,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4NFnb,rG,rmE,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_InterleaveLO32x2,2,,LEGACY
VMOVSLDUP,0x12,EVEX,PFX_F3,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4NFnb,rG,rmE,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,NULL,Iop_InterleaveLO32x2,4,,LEGACY
VMOVSLDUP,0x12,EVEX,PFX_F3,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4NFnb,rG,rmE,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,NULL,Iop_InterleaveLO32x2,8,,LEGACY
VPMOVUSQB,0x12,EVEX,PFX_F3,ESC_0F38,W0,W_8,OctMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I16,Ity_V128,,,,m_I64U_to_I8U_sat,Iop_INVALID,2,,
VPMOVUSQB,0x12,EVEX,PFX_F3,ESC_0F38,W0,W_8,OctMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I32,Ity_V256,,,,m_I64U_to_I8U_sat,Iop_INVALID,4,,
VPMOVUSQB,0x12,EVEX,PFX_F3,ESC_0F38,W0,W_8,OctMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I64,Ity_V512,,,,m_I64U_to_I8U_sat,Iop_INVALID,8,,
VMOVLPS,0x13,EVEX,PFX_NA,ESC_0F,W0,W_32,Tuple2,MASK_NONE,,E9NF,mE,rG,,,,Ity_I64,Ity_V128,,,,NULL,Iop_V128to64,,,LEGACY
VMOVLPD,0x13,EVEX,PFX_66,ESC_0F,W1,W_64,Tuple1Scalar,MASK_NONE,,E9NF,mE,rG,,,,Ity_I64,Ity_V128,,,,NULL,Iop_V128to64,,,LEGACY
VCVTPH2PS,0x13,EVEX,PFX_66,ESC_0F38,W0,W_32,HalfMem,MASK_FULL,,E11,rG,rmE,,,,Ity_V128,Ity_I64,,,,NULL,Iop_F16toF32x4,1,,LEGACY
VCVTPH2PS,0x13,EVEX,PFX_66,ESC_0F38,W0,W_32,HalfMem,MASK_FULL,,E11,rG,rmE,,,,Ity_V256,Ity_V128,,,,NULL,Iop_F16toF32x8,1,,LEGACY
VCVTPH2PS,0x13,EVEX,PFX_66,ESC_0F38,W0,W_32,HalfMem,MASK_FULL,,E11,rG,rmE,,,,Ity_V512,Ity_V256,,,,NULL,Iop_F16toF32x8,2,,LEGACY
VPMOVUSDW,0x13,EVEX,PFX_F3,ESC_0F38,W0,W_16,HalfMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I64,Ity_V128,,,,m_I32U_to_I16U_sat,Iop_INVALID,4,,
VPMOVUSDW,0x13,EVEX,PFX_F3,ESC_0F38,W0,W_16,HalfMem,MASK_FULL,,E6,rmE,rG,,,,Ity_V128,Ity_V256,,,,m_I32U_to_I16U_sat,Iop_INVALID,8,,
